,hour,longitude,latitude,value,h3_8,h3_,h3_10,h3_11,h3_12,h3_9,passengername,phone
28,0,116.4712,39.8318,4,8831aa4515fffff,,8a31aa4514c7fff,8b31aa4514c1fff,8c31aa4514c11ff,8931aa4514fffff,Passenger_28,13800000028
29,0,116.2204,40.2289,6,8831aad8c3fffff,,8a31aad88927fff,8b31aad88924fff,8c31aad88924bff,8931aad8c2bffff,Passenger_29,13800000029
30,0,116.4793,39.9978,21,8831aa541bfffff,,8a31aa541a77fff,8b31aa541a71fff,8c31aa541a71dff,8931aa541a7ffff,Passenger_30,13800000030
31,0,116.503,39.9154,90,8831aa4607fffff,,8a31aa46061ffff,8b31aa46061afff,8c31aa46061adff,8931aa46063ffff,Passenger_31,13800000031
32,0,116.4032,40.0905,5,8831aacc33fffff,,8a31aacc328ffff,8b31aacc3289fff,8c31aacc32895ff,8931aacc32bffff,Passenger_32,13800000032
33,0,116.2601,39.8818,13,8831aa58dbfffff,,8a31aa58db17fff,8b31aa58db16fff,8c31aa58db163ff,8931aa58db3ffff,Passenger_33,13800000033
34,0,116.491,40.0159,8,8831aa56abfffff,,8a31aa56ab0ffff,8b31aa56ab0afff,8c31aa56ab0a3ff,8931aa56ab3ffff,Passenger_34,13800000034
35,0,117.1174,40.157,10,8831aaadabfffff,,8a31aaadaaa7fff,8b31aaadaaa6fff,8c31aaadaaa69ff,8931aaadaabffff,Passenger_35,13800000035
36,0,116.6198,39.933,9,8831aa0995fffff,,8a31aa09b96ffff,8b31aa09b969fff,8c31aa09b9697ff,8931aa09b97ffff,Passenger_36,13800000036
37,0,116.4606,39.8589,5,8831aa455dfffff,,8a31aa455c07fff,8b31aa455c04fff,8c31aa455c047ff,8931aa455c3ffff,Passenger_37,13800000037
38,0,116.3443,39.7591,13,8831aa4f2bfffff,,8a31aa4f2a1ffff,8b31aa4f2a1cfff,8c31aa4f2a1c5ff,8931aa4f2a3ffff,Passenger_38,13800000038
39,0,116.5251,39.7841,21,8831aa7b51fffff,,8a31aa7b50d7fff,8b31aa7b50d3fff,8c31aa7b50d3bff,8931aa7b50fffff,Passenger_39,13800000039
40,0,116.3165,39.8661,6,8831aa415bfffff,,8a31aa415b2ffff,8b31aa415b2cfff,8c31aa415b2cbff,8931aa415b3ffff,Passenger_40,13800000040
41,0,116.5118,39.799,46,8831aa45b5fffff,,8a31aa45b45ffff,8b31aa45b45cfff,8c31aa45b45c5ff,8931aa45b47ffff,Passenger_41,13800000041
42,0,116.5978,40.0749,8,8831aa18a3fffff,,8a31aa18a267fff,8b31aa18a260fff,8c31aa18a2601ff,8931aa18a27ffff,Passenger_42,13800000042
43,0,116.401,40.1122,8,8831aacc1dfffff,,8a31aacc1c9ffff,8b31aacc1c9dfff,8c31aacc1c9d1ff,8931aacc1cbffff,Passenger_43,13800000043
44,0,116.3749,39.9429,10,8831aa552dfffff,,8a31aa552ceffff,8b31aa552ceefff,8c31aa552cc5bff,8931aa552cfffff,Passenger_44,13800000044
45,0,116.7298,39.9757,4,8831aa0d51fffff,,8a31aa0d5167fff,8b31aa0d5160fff,8c31aa0d51603ff,8931aa0d517ffff,Passenger_45,13800000045
46,0,116.4306,40.0856,6,8831aacca9fffff,,8a31aacca847fff,8b31aacca841fff,8c31aacca8415ff,8931aacca87ffff,Passenger_46,13800000046
47,0,116.4784,40.0188,37,8831aa56e7fffff,,8a31aa56e657fff,8b31aa56e655fff,8c31aa56e6519ff,8931aa56e67ffff,Passenger_47,13800000047
48,0,117.1274,40.1466,8,8831aaadb5fffff,,8a31aaadb4affff,8b31aaadb4a9fff,8c31aaadb4a93ff,8931aaadb4bffff,Passenger_48,13800000048
49,0,116.5016,39.9404,10,8831aa4643fffff,,8a31aa46431ffff,8b31aa46431dfff,8c31aa46431dbff,8931aa46433ffff,Passenger_49,13800000049
50,0,116.458,39.9666,58,8831aa5437fffff,,8a31aa5436effff,8b31aa5436e9fff,8c31aa5436e9dff,8931aa5436fffff,Passenger_50,13800000050
51,0,116.6941,40.1219,4,8831aa0045fffff,,8a31aa004467fff,8b31aa004463fff,8c31aa0044635ff,8931aa00447ffff,Passenger_51,13800000051
52,0,116.6408,40.1722,4,8831aa1185fffff,,8a31aa1184a7fff,8b31aa1184a4fff,8c31aa1184a4dff,8931aa1185bffff,Passenger_52,13800000052
53,0,116.1821,39.7575,4,8831aa4b21fffff,,8a31aa4b2a97fff,8b31aa4b206cfff,8c31aa4b2a927ff,8931aa4b207ffff,Passenger_53,13800000053
54,0,116.4047,39.9551,173,8831aa5503fffff,,8a31aa5502effff,8b31aa5502eefff,8c31aa5502ee9ff,8931aa5502fffff,Passenger_54,13800000054
55,0,116.3611,39.9717,16,8831aa5095fffff,,8a31aa50944ffff,8b31aa50944dfff,8c31aa50944d5ff,8931aa50947ffff,Passenger_55,13800000055
56,0,116.3171,40.0325,10,8831aa52e9fffff,,8a31aa52e8dffff,8b31aa52e8ddfff,8c31aa52e8dd3ff,8931aa52e8fffff,Passenger_56,13800000056
57,0,116.5589,39.9304,20,8831aa46cbfffff,,8a31aa46cb4ffff,8b31aa46cb48fff,8c31aa46cb489ff,8931aa46cb7ffff,Passenger_57,13800000057
58,0,116.3651,40.087,9,8831aacd1bfffff,,8a31aacd1b27fff,8b31aacd1b23fff,8c31aacd1b237ff,8931aacd1b3ffff,Passenger_58,13800000058
59,0,116.838,40.3937,18,8831aa85a1fffff,,8a31aa85a727fff,8b31aa85a725fff,8c31aa85a7259ff,8931aa85a73ffff,Passenger_59,13800000059
60,0,116.4251,39.9219,202,8831aa55a5fffff,,8a31aa55a517fff,8b31aa55a514fff,8c31aa55a5147ff,8931aa55a53ffff,Passenger_60,13800000060
61,0,116.485,39.9287,34,8831aa466bfffff,,8a31aa466b8ffff,8b31aa466b8efff,8c31aa466b8e1ff,8931aa466bbffff,Passenger_61,13800000061
62,0,116.4725,39.8899,28,8831aa4711fffff,,8a31aa47118ffff,8b31aa471189fff,8c31aa471189dff,8931aa4711bffff,Passenger_62,13800000062
63,0,116.0063,39.6626,4,883181805bfffff,,8a3181805b37fff,8b3181805b36fff,8c3181805b363ff,893181805b3ffff,Passenger_63,13800000063
64,0,116.2719,39.7203,4,8831aa49d3fffff,,8a31aa49d22ffff,8b31aa49d22cfff,8c31aa49d22c9ff,8931aa49d23ffff,Passenger_64,13800000064
65,0,116.2935,39.896,10,8831aa4309fffff,,8a31aa4308dffff,8b31aa4308ddfff,8c31aa4308dd5ff,8931aa4308fffff,Passenger_65,13800000065
66,0,116.6564,40.1276,12,8831aa0301fffff,,8a31aa030067fff,8b31aa030061fff,8c31aa0300615ff,8931aa03007ffff,Passenger_66,13800000066
67,0,116.3745,39.9744,8,8831aa5093fffff,,8a31aa509277fff,8b31aa509271fff,8c31aa5092713ff,8931aa50927ffff,Passenger_67,13800000067
68,0,116.1419,39.7406,28,8831819481fffff,,8a318194802ffff,8b318194802cfff,8c318194802c1ff,89318194803ffff,Passenger_68,13800000068
69,0,116.3078,40.1572,6,8831aac1a5fffff,,8a31aac1a48ffff,8b31aac1a48afff,8c31aac1a48a1ff,8931aac1a4bffff,Passenger_69,13800000069
70,0,116.6005,40.0853,108,8831aa1887fffff,,8a31aa188617fff,8b31aa188610fff,8c31aa1886101ff,8931aa18863ffff,Passenger_70,13800000070
71,0,116.2853,40.1038,13,8831aac889fffff,,8a31aac8884ffff,8b31aac8885dfff,8c31aac8885dbff,8931aac8887ffff,Passenger_71,13800000071
72,0,116.366,39.9266,82,8831aa4211fffff,,8a31aa421027fff,8b31aa421026fff,8c31aa4210269ff,8931aa42103ffff,Passenger_72,13800000072
73,0,116.3022,39.9675,38,8831aa51d9fffff,,8a31aa51d837fff,8b31aa51d832fff,8c31aa51d832dff,8931aa51d83ffff,Passenger_73,13800000073
74,0,116.4912,39.9968,161,8831aa54c9fffff,,8a31aa54c88ffff,8b31aa54c889fff,8c31aa54c8895ff,8931aa54c8bffff,Passenger_74,13800000074
75,0,116.5146,39.9633,9,8831aa54bbfffff,,8a31aa54bbaffff,8b31aa54bba9fff,8c31aa54bba97ff,8931aa54bbbffff,Passenger_75,13800000075
76,0,116.3683,39.8818,13,8831aa4019fffff,,8a31aa401807fff,8b31aa401831fff,8c31aa4018313ff,8931aa40183ffff,Passenger_76,13800000076
77,0,116.3281,39.8752,8,8831aa4061fffff,,8a31aa40606ffff,8b31aa406068fff,8c31aa4060683ff,8931aa40607ffff,Passenger_77,13800000077
78,0,116.3332,39.8551,13,8831aa4021fffff,,8a31aa4020c7fff,8b31aa4020c0fff,8c31aa4020c0dff,8931aa4020fffff,Passenger_78,13800000078
79,0,116.411,39.9473,18,8831aa553bfffff,,8a31aa553a07fff,8b31aa553a04fff,8c31aa553a04bff,8931aa553a3ffff,Passenger_79,13800000079
80,0,116.282,39.9427,4,8831aa518dfffff,,8a31aa518cd7fff,8b31aa518cd0fff,8c31aa518cd47ff,8931aa518cfffff,Passenger_80,13800000080
81,0,116.564,40.0625,9,8831aa199dfffff,,8a31aa199c37fff,8b31aa199c31fff,8c31aa199c31dff,8931aa199c3ffff,Passenger_81,13800000081
82,0,116.364,39.8519,14,8831aa4033fffff,,8a31aa4032c7fff,8b31aa4032c3fff,8c31aa4032c33ff,8931aa4032fffff,Passenger_82,13800000082
83,0,116.2873,39.9623,30,8831aa51cbfffff,,8a31aa51ca8ffff,8b31aa51ca8efff,8c31aa51ca8e7ff,8931aa51cabffff,Passenger_83,13800000083
84,0,116.401,39.8872,16,8831aa42b5fffff,,8a31aa42b55ffff,8b31aa42b55bfff,8c31aa42b55bdff,8931aa42b57ffff,Passenger_84,13800000084
85,0,116.6407,40.327,22,8831aa8885fffff,,8a31aa88844ffff,8b31aa88844cfff,8c31aa88844c3ff,8931aa88847ffff,Passenger_85,13800000085
86,0,116.1905,39.9139,9,8831aa5a39fffff,,8a31aa5a389ffff,8b31aa5a389dfff,8c31aa5a3898bff,8931aa5a38bffff,Passenger_86,13800000086
87,0,116.5557,39.8233,17,8831aa7a41fffff,,8a31aa7a414ffff,8b31aa7a414efff,8c31aa7a414edff,8931aa7a417ffff,Passenger_87,13800000087
88,0,116.8761,40.3918,69,8831aaba65fffff,,8a31aaba6437fff,8b31aaba6431fff,8c31aaba6431dff,8931aaba643ffff,Passenger_88,13800000088
89,0,116.6212,40.0623,262,8831aa0a5bfffff,,8a31aa0a516ffff,8b31aa0a516dfff,8c31aa0a516d5ff,8931aa0a517ffff,Passenger_89,13800000089
90,0,116.4241,40.0089,61,8831aa5713fffff,,8a31aa571357fff,8b31aa57122cfff,8c31aa57122c9ff,8931aa57123ffff,Passenger_90,13800000090
91,0,116.3526,40.0776,17,8831aacd15fffff,,8a31aacd1577fff,8b31aacd1575fff,8c31aacd1575dff,8931aacd157ffff,Passenger_91,13800000091
92,0,116.3184,39.9619,6,8831aa50adfffff,,8a31aa50ac17fff,8b31aa50ac15fff,8c31aa50ac157ff,8931aa50ac3ffff,Passenger_92,13800000092
93,0,116.5218,39.8592,4,8831aa443bfffff,,8a31aa443ae7fff,8b31aa443ae6fff,8c31aa443ae69ff,8931aa443afffff,Passenger_93,13800000093
94,0,116.5327,40.0191,8,8831aa0b45fffff,,8a31aa0b44b7fff,8b31aa0b44b6fff,8c31aa0b44b69ff,8931aa0b697ffff,Passenger_94,13800000094
95,0,116.2941,39.8366,4,8831aa4107fffff,,8a31aa410727fff,8b31aa410723fff,8c31aa410723dff,8931aa41073ffff,Passenger_95,13800000095
96,0,116.2878,39.9528,24,8831aa5189fffff,,8a31aa518907fff,8b31aa518902fff,8c31aa5189029ff,8931aa51893ffff,Passenger_96,13800000096
97,0,116.5058,39.9814,34,8831aa548bfffff,,8a31aa548b17fff,8b31aa548b13fff,8c31aa548b13dff,8931aa548b3ffff,Passenger_97,13800000097
98,0,116.6475,39.9359,18,8831aa7245fffff,,8a31aa724557fff,8b31aa724553fff,8c31aa724553bff,8931aa72457ffff,Passenger_98,13800000098
99,0,116.3315,39.7932,5,8831aa4a9bfffff,,8a31aa4a9a5ffff,8b31aa4a9a59fff,8c31aa4a9a599ff,8931aa4a9a7ffff,Passenger_99,13800000099
100,0,116.3937,39.996,50,8831aa573dfffff,,8a31aa573c07fff,8b31aa573c05fff,8c31aa573c057ff,8931aa573c3ffff,Passenger_100,13800000100
101,0,116.3247,40.0216,18,8831aa52a9fffff,,8a31aa52a977fff,8b31aa52a974fff,8c31aa52a9741ff,8931aa52a97ffff,Passenger_101,13800000101
102,0,116.345,39.7483,38,8831aa4d49fffff,,8a31aa4d492ffff,8b31aa4d492afff,8c31aa4d492abff,8931aa4d493ffff,Passenger_102,13800000102
103,0,116.2195,39.9033,4,8831aa5ae7fffff,,8a31aa5ae667fff,8b31aa5ae661fff,8c31aa5ae6615ff,8931aa5ae67ffff,Passenger_103,13800000103
104,0,116.3597,40.0314,4,8831aa5299fffff,,8a31aa529127fff,8b31aa529126fff,8c31aa5291261ff,8931aa52913ffff,Passenger_104,13800000104
105,0,116.2668,39.7689,4,8831aa4853fffff,,8a31aa4852a7fff,8b31aa4852a1fff,8c31aa4852a13ff,8931aa4852bffff,Passenger_105,13800000105
106,0,116.4857,39.8084,18,8831aa45adfffff,,8a31aa45ac27fff,8b31aa45ac20fff,8c31aa45ac20dff,8931aa45ac3ffff,Passenger_106,13800000106
107,0,116.688,40.3534,12,8831aa8f2bfffff,,8a31aa8f2a07fff,8b31aa8f2a31fff,8c31aa8f2a313ff,8931aa8f2a3ffff,Passenger_107,13800000107
108,0,116.419,39.8957,10,8831aa476dfffff,,8a31aa476d37fff,8b31aa476d33fff,8c31aa476d33dff,8931aa476d3ffff,Passenger_108,13800000108
109,0,116.4508,39.8181,4,8831aa4523fffff,,8a31aa4535b7fff,8b31aa4535b4fff,8c31aa4535b43ff,8931aa4535bffff,Passenger_109,13800000109
110,0,116.4143,39.9144,350,8831aa42d7fffff,,8a31aa42d6dffff,8b31aa42d6cafff,8c31aa42d6ca5ff,8931aa42d6fffff,Passenger_110,13800000110
111,0,116.6371,39.8799,8,8831aa7317fffff,,8a31aa73165ffff,8b31aa731659fff,8c31aa7316595ff,8931aa73167ffff,Passenger_111,13800000111
112,0,116.3006,39.8638,13,8831aa4337fffff,,8a31aa415d27fff,8b31aa415d20fff,8c31aa415d20bff,8931aa415d3ffff,Passenger_112,13800000112
113,0,116.487,39.88,26,8831aa446bfffff,,8a31aa44684ffff,8b31aa446849fff,8c31aa446849dff,8931aa44687ffff,Passenger_113,13800000113
114,0,116.2874,39.9037,9,8831aa4347fffff,,8a31aa43474ffff,8b31aa434748fff,8c31aa4347487ff,8931aa43477ffff,Passenger_114,13800000114
115,0,116.3168,39.9029,22,8831aa4319fffff,,8a31aa431967fff,8b31aa431964fff,8c31aa4319643ff,8931aa43197ffff,Passenger_115,13800000115
116,0,116.4354,40.0116,38,8831aa5441fffff,,8a31aa544117fff,8b31aa5441a5fff,8c31aa5441165ff,8931aa5441bffff,Passenger_116,13800000116
117,0,116.2428,39.9098,6,8831aa5a81fffff,,8a31aa5a806ffff,8b31aa5a806bfff,8c31aa5a806b1ff,8931aa5a807ffff,Passenger_117,13800000117
118,0,116.4672,39.9326,240,8831aa55bbfffff,,8a31aa55bb67fff,8b31aa55bb61fff,8c31aa55bb615ff,8931aa55bb7ffff,Passenger_118,13800000118
119,0,116.0831,39.7163,14,88318195c7fffff,,8a318195c62ffff,8b318195c629fff,8c318195c629dff,89318195c63ffff,Passenger_119,13800000119
120,0,116.3931,39.8584,4,8831aa408dfffff,,8a31aa408c1ffff,8b31aa408c19fff,8c31aa408c199ff,8931aa408c3ffff,Passenger_120,13800000120
121,0,116.4085,39.8145,16,8831aa4e55fffff,,8a31aa4e548ffff,8b31aa4e548afff,8c31aa4e548a7ff,8931aa4e54bffff,Passenger_121,13800000121
122,0,116.6828,39.9118,5,8831aa7217fffff,,8a31aa721687fff,8b31aa721683fff,8c31aa721683dff,8931aa7216bffff,Passenger_122,13800000122
123,0,116.3918,39.7681,8,8831aa4c45fffff,,8a31aa4c455ffff,8b31aa4c4558fff,8c31aa4c455b9ff,8931aa4c457ffff,Passenger_123,13800000123
124,0,116.6499,39.8977,9,8831aa7227fffff,,8a31aa722657fff,8b31aa722654fff,8c31aa7226549ff,8931aa72267ffff,Passenger_124,13800000124
125,0,116.3623,39.9612,66,8831aa556dfffff,,8a31aa556d8ffff,8b31aa556d8afff,8c31aa556d8a7ff,8931aa556dbffff,Passenger_125,13800000125
126,0,116.2765,39.8899,5,8831aa4363fffff,,8a31aa436237fff,8b31aa436231fff,8c31aa4362315ff,8931aa43623ffff,Passenger_126,13800000126
127,0,116.8226,40.3716,34,8831aa8e97fffff,,8a31aa8e96a7fff,8b31aa8e96a5fff,8c31aa8e96a57ff,8931aa8e96bffff,Passenger_127,13800000127
128,0,116.515,40.0387,6,8831aa56d7fffff,,8a31aa56d747fff,8b31aa56d744fff,8c31aa56d7443ff,8931aa56d77ffff,Passenger_128,13800000128
129,0,116.5386,39.799,4,8831aa7a67fffff,,8a31aa7a670ffff,8b31aa7a670efff,8c31aa7a670e7ff,8931aa7a673ffff,Passenger_129,13800000129
130,0,116.6247,40.152,12,8831aa1a99fffff,,8a31aa1a9847fff,8b31aa1a9844fff,8c31aa1a9844bff,8931aa1a987ffff,Passenger_130,13800000130
131,0,116.3946,39.9289,16,8831aa42cbfffff,,8a31aa42caa7fff,8b31aa42caa4fff,8c31aa42caa43ff,8931aa42cabffff,Passenger_131,13800000131
132,0,116.3578,39.9347,18,8831aa4257fffff,,8a31aa425617fff,8b31aa425611fff,8c31aa4256157ff,8931aa42563ffff,Passenger_132,13800000132
133,0,116.5751,39.9288,26,8831aa46dbfffff,,8a31aa46dba7fff,8b31aa46dba2fff,8c31aa46dba2bff,8931aa46dbbffff,Passenger_133,13800000133
134,0,116.6646,39.9079,6,8831aa723dfffff,,8a31aa723c77fff,8b31aa723c70fff,8c31aa723c701ff,8931aa723c7ffff,Passenger_134,13800000134
135,0,116.5975,40.0643,9,8831aa0a49fffff,,8a31aa0a48cffff,8b31aa0a48cdfff,8c31aa0a48cd9ff,8931aa0a48fffff,Passenger_135,13800000135
136,0,116.2964,39.8249,4,8831aa413dfffff,,8a31aa413ce7fff,8b31aa413ce6fff,8c31aa413ce69ff,8931aa413cfffff,Passenger_136,13800000136
137,0,116.4793,39.9546,46,8831aa54a5fffff,,8a31aa54a427fff,8b31aa54a421fff,8c31aa54a4219ff,8931aa54a43ffff,Passenger_137,13800000137
138,0,116.416,40.142,5,8831aacee7fffff,,8a31aacee707fff,8b31aacee701fff,8c31aacee7011ff,8931aacee73ffff,Passenger_138,13800000138
139,0,116.4026,40.0055,4,8831aa5703fffff,,8a31aa5702cffff,8b31aa5702ccfff,8c31aa5702cc1ff,8931aa5702fffff,Passenger_139,13800000139
140,0,116.6437,40.2706,30,8831aa1207fffff,,8a31aa120687fff,8b31aa120695fff,8c31aa120695bff,8931aa1206bffff,Passenger_140,13800000140
141,0,116.6858,40.3426,8,8831aa8f23fffff,,8a31aa8f2297fff,8b31aa8f2290fff,8c31aa8f22903ff,8931aa8f22bffff,Passenger_141,13800000141
142,0,116.3236,39.7641,13,8831aa4f65fffff,,8a31aa4f64cffff,8b31aa48db64fff,8c31aa48db649ff,8931aa4f64fffff,Passenger_142,13800000142
143,0,116.324,39.9301,18,8831aa426bfffff,,8a31aa426b97fff,8b31aa426b90fff,8c31aa426b909ff,8931aa426bbffff,Passenger_143,13800000143
144,0,116.4434,39.9138,222,8831aa4749fffff,,8a31aa47481ffff,8b31aa474819fff,8c31aa4748191ff,8931aa47483ffff,Passenger_144,13800000144
145,0,116.4365,39.838,6,8831aa4563fffff,,8a31aa4563affff,8b31aa4563acfff,8c31aa4563a13ff,8931aa4563bffff,Passenger_145,13800000145
146,0,116.4985,39.97,20,8831aa5487fffff,,8a31aa548717fff,8b31aa548714fff,8c31aa5487141ff,8931aa54873ffff,Passenger_146,13800000146
147,0,116.3142,39.9192,10,8831aa4265fffff,,8a31aa4264f7fff,8b31aa4264f5fff,8c31aa4264f53ff,8931aa4264fffff,Passenger_147,13800000147
148,0,116.581,40.0702,9,8831aa18a5fffff,,8a31aa18a4e7fff,8b31aa18a4e1fff,8c31aa18a4e15ff,8931aa18a4fffff,Passenger_148,13800000148
149,0,116.4652,39.9591,216,8831aa55d1fffff,,8a31aa55d077fff,8b31aa55d029fff,8c31aa55d0293ff,8931aa55d03ffff,Passenger_149,13800000149
150,0,116.6686,39.9717,5,8831aa0883fffff,,8a31aa08822ffff,8b31aa08822dfff,8c31aa08822d1ff,8931aa08823ffff,Passenger_150,13800000150
151,0,116.3529,39.7919,6,8831aa4f4bfffff,,8a31aa4f4aeffff,8b31aa4f4aebfff,8c31aa4f4aeb1ff,8931aa4f4afffff,Passenger_151,13800000151
152,0,116.4556,39.9793,10,8831aa5431fffff,,8a31aa5438dffff,8b31aa5438dafff,8c31aa5438de7ff,8931aa5438fffff,Passenger_152,13800000152
153,0,116.7967,39.6738,10,8831aa6e17fffff,,8a31aa6e179ffff,8b31aa6e179afff,8c31aa6e179a5ff,8931aa6e17bffff,Passenger_153,13800000153
154,0,116.2178,39.9531,4,8831aa5129fffff,,8a31aa51664ffff,8b31aa51664bfff,8c31aa51664b9ff,8931aa51667ffff,Passenger_154,13800000154
155,0,116.2701,39.9268,13,8831aa51adfffff,,8a31aa51aceffff,8b31aa51acebfff,8c31aa51aceb9ff,8931aa51acfffff,Passenger_155,13800000155
156,0,116.4691,39.9061,234,8831aa4751fffff,,8a31aa47505ffff,8b31aa47505afff,8c31aa4750585ff,8931aa47507ffff,Passenger_156,13800000156
157,0,116.4827,39.8375,6,8831aa4513fffff,,8a31aa4513affff,8b31aa4513adfff,8c31aa4513ad3ff,8931aa4513bffff,Passenger_157,13800000157
158,0,116.2562,40.0146,12,8831aa5311fffff,,8a31aa531177fff,8b31aa531176fff,8c31aa5311761ff,8931aa53113ffff,Passenger_158,13800000158
159,0,116.333,39.8844,8,8831aa4045fffff,,8a31aa4044cffff,8b31aa4044cdfff,8c31aa4044cddff,8931aa4044fffff,Passenger_159,13800000159
160,0,116.5371,39.9687,6,8831aa0945fffff,,8a31aa0944a7fff,8b31aa0944a5fff,8c31aa0944a19ff,8931aa0944bffff,Passenger_160,13800000160
161,0,116.4565,39.9198,89,8831aa55b7fffff,,8a31aa55b707fff,8b31aa55b704fff,8c31aa55b7047ff,8931aa55b73ffff,Passenger_161,13800000161
162,0,116.4027,39.9396,397,8831aa5531fffff,,8a31aa55308ffff,8b31aa55308cfff,8c31aa55308c3ff,8931aa5530bffff,Passenger_162,13800000162
163,0,116.3111,40.0007,45,8831aa5019fffff,,8a31aa5018e7fff,8b31aa5018e5fff,8c31aa5018e59ff,8931aa5018fffff,Passenger_163,13800000163
164,0,116.3753,39.8021,9,8831aa4e65fffff,,8a31aa4e655ffff,8b31aa4e6466fff,8c31aa4e6466dff,8931aa4e647ffff,Passenger_164,13800000164
