,hour,longitude,latitude,value,h3_8,h3_9,h3_10,h3_11,h3_12,h3_,passengername,phone
56,0,114.5437,38.0559,77,88319c9025fffff,89319c90247ffff,8a319c902477fff,8b319c902475fff,8c319c902475dff,8031fffffffffff,,13800010056
57,0,116.4169,39.9489,77,8831aa5517fffff,8931aa5516bffff,8a31aa55168ffff,8b31aa55168efff,8c31aa55168e1ff,8031fffffffffff,,13800010057
58,0,116.3182,39.974,77,8831aa50e1fffff,8931aa50e0fffff,8a31aa50e0d7fff,8b31aa50e0d6fff,8c31aa50e0d6bff,8031fffffffffff,,13800010058
59,0,116.3465,39.9981,77,8831aa50ddfffff,8931aa50dd3ffff,8a31aa50dd1ffff,8b31aa50dd1cfff,8c31aa50dd1c1ff,8031fffffffffff,,13800010059
60,0,130.2793,47.3289,77,88149caea1fffff,89149caea07ffff,8a149caea077fff,8b149caea054fff,8c149caea0727ff,8015fffffffffff,,13800010060
61,0,116.4767,39.9432,76,8831aa559bfffff,8931aa559abffff,8a31aa559a97fff,8b31aa559a91fff,8c31aa559a919ff,8031fffffffffff,,13800010061
62,0,116.3724,39.993,76,8831aa572dfffff,8931aa572cfffff,8a31aa572ccffff,8b31aa572cddfff,8c31aa572cddbff,8031fffffffffff,,13800010062
63,0,116.4683,39.9346,76,8831aa5597fffff,8931aa5597bffff,8a31aa5597b7fff,8b31aa5597b1fff,8c31aa5597b19ff,8031fffffffffff,,13800010063
64,0,116.4716,39.8954,75,8831aa4719fffff,8931aa4718bffff,8a31aa471887fff,8b31aa471884fff,8c31aa4718845ff,8031fffffffffff,,13800010064
65,0,116.4502,39.9668,75,8831aa55cbfffff,8931aa55cb7ffff,8a31aa55cb67fff,8b31aa55cb63fff,8c31aa55cb639ff,8031fffffffffff,,13800010065
66,0,116.4934,39.9895,75,8831aa54c1fffff,8931aa54c0fffff,8a31aa54c0c7fff,8b31aa54c0c3fff,8c31aa54c0c3dff,8031fffffffffff,,13800010066
67,0,121.3422,31.2029,75,8830982cabfffff,8930982caa3ffff,8a30982caa1ffff,8b30982caa19fff,8c30982caa195ff,8031fffffffffff,,13800010067
68,0,126.5681,43.843,74,883170189bfffff,893170189a3ffff,8a3170189a27fff,8b3170189a23fff,8c3170189a231ff,8031fffffffffff,,13800010068
69,0,116.4402,39.9796,74,8831aa542bfffff,8931aa542a3ffff,8a31aa542a1ffff,8b31aa542a19fff,8c31aa542a191ff,8031fffffffffff,,13800010069
70,0,118.8826,32.1217,74,88309111a7fffff,89309111a6bffff,8a309111a69ffff,8b309111a699fff,8c309111a6991ff,8031fffffffffff,,13800010070
71,0,116.3307,39.969,74,8831aa50a9fffff,8931aa5084bffff,8a31aa508497fff,8b31aa508490fff,8c31aa508490dff,8031fffffffffff,,13800010071
72,0,116.3209,39.9363,73,8831aa4269fffff,8931aa42693ffff,8a31aa42692ffff,8b31aa426929fff,8c31aa4269291ff,8031fffffffffff,,13800010072
73,0,121.5958,29.8391,73,884b342299fffff,894b3422993ffff,8a4b34229927fff,8b4b34229926fff,8c4b342299263ff,804bfffffffffff,,13800010073
74,0,116.3888,39.9936,72,8831aa5723fffff,8931aa57237ffff,8a31aa572347fff,8b31aa57236afff,8c31aa572341bff,8031fffffffffff,,13800010074
75,0,116.4402,39.9532,72,8831aa55c7fffff,8931aa55c73ffff,8a31aa55c71ffff,8b31aa55c71dfff,8c31aa55c71d1ff,8031fffffffffff,,13800010075
76,0,116.5191,40.0118,72,8831aa0b6dfffff,8931aa0b6dbffff,8a31aa0b6daffff,8b31aa0b6daafff,8c31aa0b6daa1ff,8031fffffffffff,,13800010076
77,0,116.3873,39.9819,72,8831aa5549fffff,8931aa5548fffff,8a31aa5548e7fff,8b31aa5548e2fff,8c31aa5548e21ff,8031fffffffffff,,13800010077
78,0,116.3592,39.9089,71,8831aa4233fffff,8931aa42333ffff,8a31aa42332ffff,8b31aa423305fff,8c31aa423305bff,8031fffffffffff,,13800010078
79,0,116.3875,39.9842,71,8831aa5549fffff,8931aa55483ffff,8a31aa55482ffff,8b31aa554828fff,8c31aa5548287ff,8031fffffffffff,,13800010079
80,0,116.3652,40.0292,71,8831aa5291fffff,8931aa52907ffff,8a31aa529067fff,8b31aa529a92fff,8c31aa5290653ff,8031fffffffffff,,13800010080
81,0,116.4334,39.9879,71,8831aa5463fffff,8931aa5462fffff,8a31aa5462cffff,8b31aa5462cefff,8c31aa5462ce9ff,8031fffffffffff,,13800010081
82,0,117.2291,34.2322,71,8830b02d67fffff,8930b02d677ffff,8a30b02d674ffff,8b30b02d674bfff,8c30b02d674b1ff,8031fffffffffff,,13800010082
83,0,124.3964,43.1847,71,88310999ebfffff,89310999ea3ffff,8a310999ea37fff,8b310999ea30fff,8c310999ea305ff,8031fffffffffff,,13800010083
84,0,116.5045,40.0031,70,8831aa56b7fffff,8931aa56b7bffff,8a31aa56b7affff,8b31aa56b7acfff,8c31aa56b7ac9ff,8031fffffffffff,,13800010084
85,0,116.5127,40.0106,69,8831aa56bbfffff,8931aa56babffff,8a31aa56b327fff,8b31aa56b324fff,8c31aa56b324dff,8031fffffffffff,,13800010085
86,0,116.3659,40.0235,69,8831aa5293fffff,8931aa5292bffff,8a31aa5292b7fff,8b31aa5292b4fff,8c31aa5292b47ff,8031fffffffffff,,13800010086
87,0,116.4372,39.9218,69,8831aa55a1fffff,8931aa55a0fffff,8a31aa55a0cffff,8b31aa55a0c8fff,8c31aa55a0c87ff,8031fffffffffff,,13800010087
88,0,116.4957,39.9188,68,8831aa4605fffff,8931aa46043ffff,8a31aa460407fff,8b31aa460403fff,8c31aa4604035ff,8031fffffffffff,,13800010088
89,0,116.3018,39.9886,68,8831aa5015fffff,8931aa50143ffff,8a31aa501417fff,8b31aa501413fff,8c31aa5014115ff,8031fffffffffff,,13800010089
90,0,121.4226,31.3106,68,8830995a55fffff,8930995a54bffff,8a30995a548ffff,8b30995a548bfff,8c30995a548b7ff,8031fffffffffff,,13800010090
91,0,116.3139,39.9906,67,8831aa5013fffff,8931aa5013bffff,8a31aa50139ffff,8b31aa50139efff,8c31aa50139e5ff,8031fffffffffff,,13800010091
92,0,106.3852,39.0125,66,8824c0c491fffff,8924c0c4913ffff,8a24c0c49127fff,8b24c0c49120fff,8c24c0c491203ff,8025fffffffffff,,13800010092
93,0,116.3855,40.0012,66,8831aa572bfffff,8931aa572b3ffff,8a31aa572b2ffff,8b31aa572b2afff,8c31aa572b2bdff,8031fffffffffff,,13800010093
94,0,116.4677,39.8828,66,8831aa4715fffff,8931aa4714fffff,8a31aa4714c7fff,8b31aa4714c6fff,8c31aa4714c67ff,8031fffffffffff,,13800010094
95,0,116.3171,39.981,65,8831aa50e9fffff,8931aa50e8bffff,8a31aa50e127fff,8b31aa50e124fff,8c31aa50e124bff,8031fffffffffff,,13800010095
96,0,119.9511,31.822,65,88309c45e3fffff,89309c45e3bffff,8a309c45e39ffff,8b309c45e39efff,8c309c45e39e9ff,8031fffffffffff,,13800010096
97,0,116.3537,40.0339,65,8831aa529dfffff,8931aa529d3ffff,8a31aa529d2ffff,8b31aa529d2dfff,8c31aa529d2ddff,8031fffffffffff,,13800010097
98,0,116.3751,40.0199,65,8831aa5745fffff,8931aa5744bffff,8a31aa57449ffff,8b31aa574483fff,8c31aa5744837ff,8031fffffffffff,,13800010098
99,0,116.4106,39.9783,65,8831aa5551fffff,8931aa55517ffff,8a31aa555157fff,8b31aa555154fff,8c31aa555154bff,8031fffffffffff,,13800010099
100,0,116.4093,39.9502,65,8831aa553bfffff,8931aa553b3ffff,8a31aa553b27fff,8b31aa553b26fff,8c31aa553b267ff,8031fffffffffff,,13800010100
101,0,118.1331,39.6316,64,88318d830bfffff,89318d830bbffff,8a318d830ba7fff,8b318d830ba1fff,8c318d830ba13ff,8031fffffffffff,,13800010101
102,0,116.3342,39.969,64,8831aa5085fffff,8931aa5084fffff,8a31aa5084d7fff,8b31aa5084d0fff,8c31aa5084d0bff,8031fffffffffff,,13800010102
103,0,116.4241,39.8635,64,8831aa4099fffff,8931aa40983ffff,8a31aa40980ffff,8b31aa409809fff,8c31aa4098095ff,8031fffffffffff,,13800010103
104,0,116.5067,40.0149,64,8831aa56b9fffff,8931aa56b8fffff,8a31aa56b8f7fff,8b31aa56b8f5fff,8c31aa56b8f59ff,8031fffffffffff,,13800010104
105,0,116.2862,39.8871,63,8831aa4305fffff,8931aa43043ffff,8a31aa43040ffff,8b31aa43040cfff,8c31aa43040c3ff,8031fffffffffff,,13800010105
106,0,116.4773,39.8807,63,8831aa4717fffff,8931aa4716fffff,8a31aa4716effff,8b31aa4716ebfff,8c31aa4716eb3ff,8031fffffffffff,,13800010106
107,0,116.3217,39.9427,63,8831aa5193fffff,8931aa51937ffff,8a31aa519347fff,8b31aa519355fff,8c31aa519355bff,8031fffffffffff,,13800010107
108,0,116.4688,39.9406,63,8831aa5591fffff,8931aa5591bffff,8a31aa55919ffff,8b31aa55919dfff,8c31aa55919d5ff,8031fffffffffff,,13800010108
109,0,130.2654,47.2925,63,88149cac07fffff,89149cac06fffff,8a149cac06d7fff,8b149cac06d1fff,8c149cac06d13ff,8015fffffffffff,,13800010109
110,0,116.4107,39.9796,63,8831aa5551fffff,8931aa55517ffff,8a31aa5558dffff,8b31aa5558dbfff,8c31aa5558db1ff,8031fffffffffff,,13800010110
111,0,113.2802,23.1594,63,884118b2b5fffff,894118b2b5bffff,8a4118b2b597fff,8b4118b2b593fff,8c4118b2b593bff,8041fffffffffff,,13800010111
112,0,116.4883,39.9133,62,8831aa4629fffff,8931aa46283ffff,8a31aa46281ffff,8b31aa462818fff,8c31aa4628185ff,8031fffffffffff,,13800010112
113,0,116.4721,39.9724,62,8831aa54e5fffff,8931aa54e57ffff,8a31aa54e557fff,8b31aa54e551fff,8c31aa54e551bff,8031fffffffffff,,13800010113
114,0,114.003,22.5253,62,88411caacbfffff,89411caacbbffff,8a411caacb87fff,8b411caacb80fff,8c411caacb80dff,8041fffffffffff,,13800010114
115,0,116.4929,39.9826,61,8831aa54c7fffff,8931aa54c6fffff,8a31aa54c6f7fff,8b31aa54c6f3fff,8c31aa54c6f31ff,8031fffffffffff,,13800010115
116,0,116.3368,40.0635,61,8831aacd3dfffff,8931aacd3c3ffff,8a31aacd3c1ffff,8b31aacd3c18fff,8c31aacd3c187ff,8031fffffffffff,,13800010116
117,0,116.3956,39.9816,61,8831aa554bfffff,8931aa554a3ffff,8a31aa554a2ffff,8b31aa554a2bfff,8c31aa554a2bbff,8031fffffffffff,,13800010117
118,0,116.3409,39.9956,61,8831aa50cbfffff,8931aa50cafffff,8a31aa50cadffff,8b31aa50cad1fff,8c31aa50cad13ff,8031fffffffffff,,13800010118
119,0,113.0983,22.5873,61,88411d02a5fffff,89411d02a5bffff,8a411d02a5a7fff,8b411d02a5a0fff,8c411d02a5a0bff,8041fffffffffff,,13800010119
120,0,116.3643,39.9014,61,8831aa42e5fffff,8931aa42e4bffff,8a31aa42e4b7fff,8b31aa42e4b0fff,8c31aa42e4b0dff,8031fffffffffff,,13800010120
121,0,116.3558,39.8923,61,8831aa405dfffff,8931aa405c7ffff,8a31aa405ceffff,8b31aa405c5afff,8c31aa405c5a5ff,8031fffffffffff,,13800010121
122,0,116.314,39.9642,61,8831aa51dbfffff,8931aa51da7ffff,8a31aa51da57fff,8b31aa51da51fff,8c31aa51da515ff,8031fffffffffff,,13800010122
123,0,116.3618,40.0266,61,8831aa5291fffff,8931aa52903ffff,8a31aa52901ffff,8b31aa52901bfff,8c31aa52901bbff,8031fffffffffff,,13800010123
124,0,116.3184,39.948,61,8831aa519bfffff,8931aa519a3ffff,8a31aa519a37fff,8b31aa519a36fff,8c31aa519a367ff,8031fffffffffff,,13800010124
125,0,116.3186,39.9844,60,8831aa50e9fffff,8931aa50e83ffff,8a31aa50e807fff,8b31aa50e801fff,8c31aa50e8011ff,8031fffffffffff,,13800010125
126,0,116.4965,40.0008,60,8831aa54c9fffff,8931aa56b4bffff,8a31aa54c86ffff,8b31aa54c86dfff,8c31aa54c86d9ff,8031fffffffffff,,13800010126
127,0,116.6214,40.0536,60,8831aa0a57fffff,8931aa0a577ffff,8a31aa0a574ffff,8b31aa0a5748fff,8c31aa0a57487ff,8031fffffffffff,,13800010127
128,0,116.2838,39.9342,60,8831aa51abfffff,8931aa51ab7ffff,8a31aa51ab77fff,8b31aa51ab75fff,8c31aa51ab75dff,8031fffffffffff,,13800010128
129,0,116.4527,39.9022,60,8831aa4743fffff,8931aa4742fffff,8a31aa4742cffff,8b31aa4742cefff,8c31aa4742ce5ff,8031fffffffffff,,13800010129
130,0,116.3995,39.8591,60,8831aa4081fffff,8931aa40813ffff,8a31aa408107fff,8b31aa408101fff,8c31aa4081017ff,8031fffffffffff,,13800010130
131,0,116.4167,39.8597,60,8831aa409dfffff,8931aa409c3ffff,8a31aa409c2ffff,8b31aa409c29fff,8c31aa409c295ff,8031fffffffffff,,13800010131
132,0,106.459,29.5501,59,8840197537fffff,8940197537bffff,8a4019753797fff,8b4019753791fff,8c4019753791dff,8041fffffffffff,,13800010132
133,0,120.0814,30.2629,59,88309a5197fffff,89309a51963ffff,8a309a519627fff,8b309a519621fff,8c309a5196215ff,8031fffffffffff,,13800010133
134,0,116.3559,39.9768,59,8831aa509dfffff,8931aa509cfffff,8a31aa509cf7fff,8b31aa509cf2fff,8c31aa509cf2dff,8031fffffffffff,,13800010134
135,0,116.352,40.0042,59,8831aa52b7fffff,8931aa52b67ffff,8a31aa52b66ffff,8b31aa52b668fff,8c31aa52b6683ff,8031fffffffffff,,13800010135
136,0,119.1801,34.6041,59,88308406d9fffff,89308406d83ffff,8a308406d80ffff,8b308406d80dfff,8c308406d80d7ff,8031fffffffffff,,13800010136
137,0,116.3185,39.911,59,8831aa422dfffff,8931aa422dbffff,8a31aa422d87fff,8b31aa422d83fff,8c31aa422d83dff,8031fffffffffff,,13800010137
138,0,116.3538,40.0472,59,8831aa52d1fffff,8931aa52d17ffff,8a31aa52d157fff,8b31aa52d154fff,8c31aa52d1541ff,8031fffffffffff,,13800010138
139,0,116.3645,39.9818,59,8831aa5099fffff,8931aa5098fffff,8a31aa5098c7fff,8b31aa5098c4fff,8c31aa5098c45ff,8031fffffffffff,,13800010139
140,0,116.4806,39.9893,58,8831aa5413fffff,8931aa54127ffff,8a31aa54125ffff,8b31aa54125dfff,8c31aa54125ddff,8031fffffffffff,,13800010140
141,0,123.6511,47.2029,58,8814b63841fffff,8914b63840fffff,8a14b63840cffff,8b14b63840cefff,8c14b63840cebff,8015fffffffffff,,13800010141
142,0,116.2827,39.883,58,8831aa432bfffff,8931aa43287ffff,8a31aa432b37fff,8b31aa432869fff,8c31aa4328693ff,8031fffffffffff,,13800010142
143,0,116.3909,39.959,58,8831aa5501fffff,8931aa5501bffff,8a31aa550197fff,8b31aa550194fff,8c31aa550194bff,8031fffffffffff,,13800010143
144,0,116.359,39.9273,57,8831aa421dfffff,8931aa421c3ffff,8a31aa421c1ffff,8b31aa421c1dfff,8c31aa421c1ddff,8031fffffffffff,,13800010144
145,0,121.651,31.2094,57,8830994f07fffff,8930994f077ffff,8a30994f0757fff,8b30994f0753fff,8c30994f07523ff,8031fffffffffff,,13800010145
146,0,124.4004,40.1385,57,88302eb355fffff,89302eb3547ffff,8a302eb3546ffff,8b302eb3546afff,8c302eb354685ff,8031fffffffffff,,13800010146
147,0,116.312,39.9272,57,8831aa426dfffff,8931aa426cbffff,8a31aa426c17fff,8b31aa426c12fff,8c31aa426c127ff,8031fffffffffff,,13800010147
148,0,116.396,39.9891,57,8831aa5735fffff,8931aa57347ffff,8a31aa573477fff,8b31aa573474fff,8c31aa5734743ff,8031fffffffffff,,13800010148
149,0,104.0734,30.6493,57,8840e3cec1fffff,8940e3cec03ffff,8a40e3cec077fff,8b40e3cec076fff,8c40e3cec0765ff,8041fffffffffff,,13800010149
150,0,116.3786,39.8725,56,8831aa4013fffff,8931aa40137ffff,8a31aa40135ffff,8b31aa40135afff,8c31aa40135a7ff,8031fffffffffff,,13800010150
151,0,116.3154,39.8965,56,8831aa4319fffff,8931aa4318fffff,8a31aa4318c7fff,8b31aa4318c6fff,8c31aa4318c65ff,8031fffffffffff,,13800010151
152,0,116.4485,39.9066,56,8831aa4743fffff,8931aa47433ffff,8a31aa474317fff,8b31aa474312fff,8c31aa474312bff,8031fffffffffff,,13800010152
153,0,116.446,39.993,56,8831aa5401fffff,8931aa54003ffff,8a31aa540037fff,8b31aa540031fff,8c31aa5400317ff,8031fffffffffff,,13800010153
154,0,116.3719,39.8561,56,8831aa40e5fffff,8931aa40ecfffff,8a31aa40e567fff,8b31aa40e564fff,8c31aa40e564dff,8031fffffffffff,,13800010154
155,0,116.3417,40.0569,56,8831aacd37fffff,8931aacd347ffff,8a31aacd344ffff,8b31aacd344bfff,8c31aacd344b9ff,8031fffffffffff,,13800010155
156,0,116.5062,40.0036,56,8831aa56b7fffff,8931aa56b73ffff,8a31aa56b71ffff,8b31aa56b71dfff,8c31aa56b71d3ff,8031fffffffffff,,13800010156
157,0,116.4361,39.9314,56,8831aa55a9fffff,8931aa55a87ffff,8a31aa55a857fff,8b31aa55a856fff,8c31aa55a856dff,8031fffffffffff,,13800010157
158,0,116.4127,39.9929,56,8831aa5733fffff,8931aa546cbffff,8a31aa57334ffff,8b31aa573349fff,8c31aa573349bff,8031fffffffffff,,13800010158
159,0,104.0161,30.7075,56,8840e3ccd7fffff,8940e3ccd6fffff,8a40e3ccd6f7fff,8b40e3ccd6f3fff,8c40e3ccd6f33ff,8041fffffffffff,,13800010159
160,0,116.3765,39.9531,56,8831aa5567fffff,8931aa55667ffff,8a31aa556667fff,8b31aa556661fff,8c31aa5566611ff,8031fffffffffff,,13800010160
161,0,116.3987,39.8736,55,8831aa40c3fffff,8931aa40c33ffff,8a31aa40c307fff,8b31aa40c303fff,8c31aa40c303bff,8031fffffffffff,,13800010161
162,0,116.5281,40.021,55,8831aa5693fffff,8931aa5692bffff,8a31aa56928ffff,8b31aa56928dfff,8c31aa56928d7ff,8031fffffffffff,,13800010162
163,0,116.4876,39.9161,55,8831aa4629fffff,8931aa46293ffff,8a31aa46291ffff,8b31aa46291dfff,8c31aa46291d3ff,8031fffffffffff,,13800010163
